B;708;2125879;10;20220307 05:04;;;7;FURBER RD;CENTENNIAL PARK;2021;265.4;M;20211116;20220228;5250000;R1;R;RESIDENCE;;BF1;;0;AR919523;
B;708;2116612;52;20250407 01:10;ADLEN;13;39;COOK RD;CENTENNIAL PARK;2021;;;20250208;20250324;666000;;R;RESIDENCE;4;;;0;AU915925;
B;708;2116906;55;20250407 01:10;;8;57;COOK RD;CENTENNIAL PARK;2021;;;20250213;20250327;720000;;R;RESIDENCE;8;;;0;AU927274;
B;708;2116906;56;20250407 01:10;;39;57;COOK RD;CENTENNIAL PARK;2021;;;20250220;20250324;740000;;R;RESIDENCE;39;;;0;AU915676;
B;708;2117195;34;20180507 01:22;;9;121;COOK RD;CENTENNIAL PARK;2021;;;20180314;20180501;1020000;;R;RESIDENCE;9;;;0;AN304628;
B;708;2117232;35;20180507 01:22;;12;127;COOK RD;CENTENNIAL PARK;2021;;;20180312;20180423;1080000;;R;RESIDENCE;12;;;0;AN301451;
B;708;2140482;58;20180507 01:22;;6;19 A;POATE RD;CENTENNIAL PARK;2021;;;20180319;20180423;470000;;R;RESIDENCE;6;;;0;AN296575;
B;708;2116968;44;20210607 01:03;;64;69;COOK RD;CENTENNIAL PARK;2021;;;20210417;20210527;917000;;R;RESIDENCE;64;;;0;AR89570;
B;708;2117135;45;20210607 01:03;;6 A;105;COOK RD;CENTENNIAL PARK;2021;;;20210302;20210528;750000;;R;RESIDENCE;26;;;0;AR93675;
B;708;2136295;76;20210607 01:03;;;1;MITCHELL ST;CENTENNIAL PARK;2021;518.5;M;20210331;20210531;10500000;R2;R;RESIDENCE;;GF1;;0;AR98260;
B;708;2116906;48;20250707 01:12;;17;57;COOK RD;CENTENNIAL PARK;2021;;;20250415;20250702;1000000;;R;RESIDENCE;17;;;;AV206561;
B;708;2136355;53;20170807 01:10;;;63;MOORE PARK RD;CENTENNIAL PARK;2021;724;M;20160324;20170724;3700000;R1;R;RESIDENCE;;CPP;;0;AM598623;
B;708;2117135;34;20230807 01:18;;1 C;105;COOK RD;CENTENNIAL PARK;2021;;;20230616;20230728;595000;;R;RESIDENCE;3;;;0;AT304487;
B;708;2125908;40;20230807 01:18;;15;22;FURBER RD;CENTENNIAL PARK;2021;;;20230601;20230731;1010000;;R;RESIDENCE;13;;;0;AT309791;
B;708;2131402;49;20200907 01:04;;;68;LANG RD;CENTENNIAL PARK;2021;834.7;M;20200703;20200901;9000000;R2;R;RESIDENCE;;GF1;;0;AQ359972;
B;708;2131372;69;20221107 01:21;;;24;LANG RD;CENTENNIAL PARK;2021;1031;M;20220401;20221101;20500000;R2;R;RESIDENCE;;GF1;;0;AS597196;
B;708;2117131;51;20151207 01:24;;;97;COOK RD;CENTENNIAL PARK;2021;379.4;M;20150513;20151120;3875000;R1;R;RESIDENCE;;BF1;;0;AK25483;
B;708;2134787;84;20151207 01:24;;;40;MARTIN RD;CENTENNIAL PARK;2021;752.5;M;20150616;20151116;5400000;R2;R;RESIDENCE;;GF1;;0;AK25304;
B;708;2131392;94;20151207 01:24;;;56;LANG RD;CENTENNIAL PARK;2021;910.5;M;20150416;20151120;6350000;R2;R;RESIDENCE;;GF1;;0;AK22774;
B;708;3230316;130;20151207 01:24;;13;80;COOK RD;CENTENNIAL PARK;2021;;;20150926;20151120;426000;;R;RESIDENCE;13;;;0;AK20656;
B;708;3813478;157;20151207 01:24;;8;19;POATE RD;CENTENNIAL PARK;2021;73;M;20151001;20151026;929000;;R;RESIDENCE;8;;;0;AK17247;
B;708;2116546;58;20201207 01:09;;10;7;COOK RD;CENTENNIAL PARK;2021;;;20201020;20201201;1325000;;R;RESIDENCE;10;;;0;AQ604344;
B;708;2131384;100;20201207 01:09;;;44;LANG RD;CENTENNIAL PARK;2021;2194;M;20201119;20201130;16500000;R2;R;RESIDENCE;;GF1;;0;AQ600126;
B;708;2116585;40;20160208 01:21;PARKLANE;13;27;COOK RD;CENTENNIAL PARK;2021;;;20160113;20160201;620000;;R;RESIDENCE;13;;;0;AK183749;
B;708;2116796;43;20160208 01:21;;12;53;COOK RD;CENTENNIAL PARK;2021;;;20151212;20160125;542000;;R;RESIDENCE;2;;;0;AK179069;
B;708;2116796;44;20160208 01:21;;92;53;COOK RD;CENTENNIAL PARK;2021;;;20151212;20160125;542000;;R;RESIDENCE;92;;;0;AK179069;
B;708;3230316;110;20160208 01:21;;37;80;COOK RD;CENTENNIAL PARK;2021;;;20151029;20160128;450000;;R;RESIDENCE;37;;;0;AK182453;
B;708;3897838;162;20160208 01:21;;;9 A;POATE RD;CENTENNIAL PARK;2021;188.7;M;20150922;20151215;2360000;R1;R;RESIDENCE;;BF1;;0;AK91378;
B;708;2116796;39;20210208 01:03;;71;53;COOK RD;CENTENNIAL PARK;2021;;;20201218;20210201;710000;;R;RESIDENCE;55;;;0;AQ767556;
B;708;2116796;40;20210208 01:03;;78;53;COOK RD;CENTENNIAL PARK;2021;;;20201218;20210201;710000;;R;RESIDENCE;78;;;0;AQ767556;
B;708;2116686;30;20210308 01:03;;69;49;COOK RD;CENTENNIAL PARK;2021;;;20210222;20210301;325000;;R;RESIDENCE;54;;;0;AQ838151;
B;708;2116686;31;20210308 01:03;CAR SPACE;98;49;COOK RD;CENTENNIAL PARK;2021;;;20210222;20210301;325000;;R;RESIDENCE;98;;;0;AQ838151;
B;708;2131385;49;20210308 01:03;;;48;LANG RD;CENTENNIAL PARK;2021;815.7;M;20201126;20210301;6500000;R2;R;RESIDENCE;;GF1;;0;AQ835366;
B;708;2117232;54;20240408 01:07;;21;127;COOK RD;CENTENNIAL PARK;2021;;;20240304;20240403;1350000;;R;RESIDENCE;21;;;0;AT952946;
B;708;2117135;45;20170508 01:10;;2 B;105;COOK RD;CENTENNIAL PARK;2021;;;20170228;20170428;428000;;R;RESIDENCE;7;;;0;AM343321;
B;708;2117039;45;20230508 01:13;;25;77;COOK RD;CENTENNIAL PARK;2021;;;20230331;20230428;905500;;R;RESIDENCE;25;;;0;AT43178;
B;708;2134784;41;20200608 01:03;;;36;MARTIN RD;CENTENNIAL PARK;2021;904.2;M;20200413;20200604;9200000;R2;R;RESIDENCE;;GF1;;0;AQ149875;
B;708;2117465;60;20240708 01:09;;668;58;COOK RD;CENTENNIAL PARK;2021;;;20240518;20240701;715000;;R;RESIDENCE;24;;;0;AU205541;
B;708;2117135;69;20220808 01:17;;4 A;105;COOK RD;CENTENNIAL PARK;2021;;;20220621;20220802;780000;;R;RESIDENCE;16;;;0;AS354768;
B;708;2116612;48;20250908 01:09;ADLEN;57;39;COOK RD;CENTENNIAL PARK;2021;;;20250723;20250903;760000;;R;RESIDENCE;48;;;;AV388740;
B;708;2125882;14;20211108 02:19;;;13;FURBER RD;CENTENNIAL PARK;2021;347.8;M;20210527;20211029;4200000;R1;R;RESIDENCE;;BF1;;0;AR567467;
B;708;2117516;15;20211108 02:19;;;26;COOK RD;CENTENNIAL PARK;2021;207.9;M;20210823;20211029;6300000;R1;R;RESIDENCE;;BF1;;0;AR567469;
B;708;3813478;23;20211108 02:19;;7;19;POATE RD;CENTENNIAL PARK;2021;76;M;20211019;20211102;1100000;;R;RESIDENCE;7;;;0;AR576920;
B;708;2116546;43;20211108 02:19;;8;7;COOK RD;CENTENNIAL PARK;2021;;;20210820;20211102;2010000;;R;RESIDENCE;8;;;0;AR577282;
B;708;2116546;44;20211108 02:19;CETENNIAL, CAR SPACE;8;7;COOK RD;CENTENNIAL PARK;2021;;;20210820;20211102;2010000;;R;RESIDENCE;32;;;0;AR577282;
B;708;2117413;66;20211108 02:19;;9;68;COOK RD;CENTENNIAL PARK;2021;;;20210923;20211104;711260;;R;RESIDENCE;9;;;0;AR586172;
B;708;3813478;178;20251208 01:10;;2;19;POATE RD;CENTENNIAL PARK;2021;141;M;20250827;20251127;1750000;;R;RESIDENCE;2;;;;AV651588;
B;708;3230316;86;20200309 01:04;;5;80;COOK RD;CENTENNIAL PARK;2021;;;20200117;20200228;450000;;R;RESIDENCE;5;;;0;AP932589;
B;708;2116686;23;20180409 01:20;;64;49;COOK RD;CENTENNIAL PARK;2021;;;20180209;20180329;570000;;R;RESIDENCE;49;;;0;AN235246;
B;708;2116686;24;20180409 01:20;CAR SPACE;88;49;COOK RD;CENTENNIAL PARK;2021;;;20180209;20180329;570000;;R;RESIDENCE;88;;;0;AN235246;
B;708;2117135;26;20180409 01:20;;7 E;105;COOK RD;CENTENNIAL PARK;2021;;;20180212;20180309;390000;;R;RESIDENCE;35;;;0;AN230846;
B;708;2140482;44;20180409 01:20;;12;19 A;POATE RD;CENTENNIAL PARK;2021;;;20180215;20180329;492000;;R;RESIDENCE;12;;;0;AN234215;
B;708;2116546;42;20160509 01:22;;12;7;COOK RD;CENTENNIAL PARK;2021;;;20160316;20160427;930500;;R;RESIDENCE;12;;;0;AK399696;
B;708;2116968;44;20160509 01:22;;63;69;COOK RD;CENTENNIAL PARK;2021;;;20151022;20151203;725000;;R;RESIDENCE;63;;;0;AK384760;
